Contenido,Título del video,Tiempo de publicación del video,Duración,Ingresos estimados (USD),Vistas,RPM (USD)
VVhXBxviFjc,ÚLTIMA HORA: Tregua de 60 días entre EEUU e Irán tras hostilidades espera la aprobación de Trump,"May 28, 2026",70,0.001,6,1
pVsh74SZooU,Posibles focos de contagio del HANTAVIRUS están fuera del barco,"May 8, 2026",121,0.001,10,0.143
H1SzLZ9ym7E,"Planeación estratégica, gobernanza y transformación: conoce los insights de expertos de Grupo Valor","Jul 30, 2024",1301,0.001,,
3Y2ZRnFgF4g,"Carlos Durán: evolución personal, su nuevo rol como emprendedor y creación de contenido en RD","Jul 24, 2025",332,0.001,1,
l8wqzRHODAU,El triunfo de De la Espriella: rompe el mapa político de Sudamérica,"Jun 22, 2026",87,0.001,18,0.2
5-PO8pf492M,DOMINICAN WATCHMAN. Historia de un referente en seguridad,"Mar 27, 2024",2532,0.001,6,0.167
WRmxQm8_geI,Juan Carlos Escotet y los detalles de Banesco en el país,"Oct 28, 2013",431,0.001,1,1
0LzAGQOM424,"Dra  Quéliz: Implantes cocleares, claves para la audición infantil","Sep 14, 2024",43,0.001,14,0.167
fDXC4h80FWE,"40 Under 40: Gustavo Camilo, somos pioneros en el mercado","Nov 29, 2021",116,0.001,1,1
4xIZpj05kXA,La guerra que no para: El EE  UU- Irán se enciende junto al conflicto de Hezbollah,"Jun 1, 2026",94,0.001,9,0.333
wfyCaOjNMrQ,El joven senador con su propia forma de pensar - Omar Fernandez,"Nov 11, 2024",536,0.001,4,0
Vw6XupyTMN0,"Los países de América Latina que más crecerán en 2026, según las proyecciones del PIB","Jan 22, 2026",45,0.001,18,0.091
Sd5rA8EFEuQ,Sin control del uranio Lo que oculta el documento filtrado entre Trump y Teherán,"Jun 17, 2026",92,0.001,11,0.5
_6V00DZkuwk,Elon Musk asegura que su robot cambiará el mundo,"Oct 27, 2025",34,0.001,9,0
DXpZCRvpaxo,"Morten Johansen, CEO de DP World: 'Conectividad para el progreso'","Sep 1, 2021",177,0.001,1,1
x_cTrE1NQnA,"Entrevista exclusiva con Ligia Bonetti, presidente Grupo SID","Mar 23, 2018",521,0.001,4,0.25
74sBB0YG2Jc,En alerta pero sin pánico: Las Medidas de México ante el Ébola,"May 27, 2026",91,0.001,13,0.125
CsI1TPa2b0c,El costoso regreso de Escobar: Inversión de US$3 millones por episodio,"Apr 29, 2026",98,0.001,7,0.333
0Ca3EqKblFE,La revolución automotriz tiene nuevos protagonistas,"Jul 16, 2026",126,0.001,37,0.1
qLVZiVqWfL0,El gran vacío: Dr. Enrique Rojas en Mercado Podcast,"Aug 19, 2024",38,0.001,9,0.25
5AXRK452CZU,IVAN MEJIA - CEO GRUPO RAMOS,"Apr 24, 2026",50,0.001,21,0
rk19hO8ssbA,Entrevista Embajadora de los Estados Unidos en República Dominicana Robin Bernstein,"Jan 11, 2019",429,0.001,1,1
Ej68XtdcVe8,Qué significan los colores de las tarjetas de crédito y qué indican sobre el cupo,"Jan 30, 2026",44,0.001,19,0.1
P_Ujx-BDGiM,Entrevista exclusiva a Álvaro Uribe - Un momento histórico - Patricia Janiot,"Oct 11, 2024",41,0.001,4,0.333
OFd-SK9f89k,¡Recta final en Colombia! El sorpresivo cambio en las encuestas a días de las elecciones,"May 29, 2026",110,0.001,6,0.5
RYPF_t_itV8,Crisis económica global más allá del precio del petroleo.,"Apr 23, 2026",121,0.001,5,0
jBD4LHGtpGc,Ataque contra Trump: sistema de seguridad bajo presión,"Apr 27, 2026",148,0.001,5,0
Fekr1-vdgCY,Hecho histórico - Aterrizaje Artemis II,"Apr 13, 2026",93,0.001,8,0.5
NhhDOQMTrJk,"Los Pioneros en Acciones, Los Valientes - Market Brief 2023","Dec 7, 2023",1577,0.001,1,1
y0ahrQojrZ4,El poder de donar órganos devuelve la vida - Dr. Giovanni Vicini,"Sep 16, 2024",29,0.001,26,0.1
kQWlfYbzbxc,Los Sucesores edición 2015: Business must go on...,"Jan 18, 2016",1039,0.001,3,0.333
m8A81VP7eNA,Luis Galindo: Lo que tienen en común los GRANDES LÍDERES,"Aug 22, 2024",25,0.001,8,0.2
TguxgdtZEc0,Giro inesperado! La derecha golpea primero y Petro enciende las alarmas,"Jun 1, 2026",106,0.001,9,0.333
lMsGzIRBmOM,NODO GLOBAL – soluciones logísticas integrales en un solo punto,"Apr 25, 2022",282,0.001,2,0.5
l7K7Zk8PDHc,¿Perdió Trump el control militar de Israel? Netanyahu ignoró las advertencias de la Casa Blanca,"Jun 8, 2026",87,0.001,10,0.5
b_CVDgtz2nY,Monorriel de Santo Domingo ¿Como cambiará el tráfico?,"Mar 30, 2026",58,0.001,14,0
ZiP1hviEGNo,Gabriel Escarrer: Qué opina el CEO mundial de Meliá Hotels,"Mar 16, 2025",67,0.001,8,0.143
7iVab2oyQB4,"5,000 soldados a Polonia: jugada geopolítica de Trump","May 22, 2026",88,0.001,7,0.5
jKt8C4zI2dA,DPH: Adaptándose a las necesidades de un mercado global a través de la tecnología,"Aug 22, 2024",326,0.001,1,1
hJ1skNfvxSQ,¿Quién era «El Mencho»? La historia del narco más buscado,"Feb 24, 2026",36,0.001,4,0
QNQqdUoGoFE,La Jueza Sonia Sotomayor y su impacto global - Ángela Montoya Holguín,"Dec 30, 2024",43,0.001,6,0.333
oGpKQb27EYM,"Trump juega su propio Mundial: Visas denegadas, interrogatorios y caos logístico en la Copa 2026","Jun 18, 2026",105,0.001,14,0.333
rLzZOqYMBEU,Tensión máxima en el Golfo | ACTUALIDAD,"Apr 13, 2026",118,0.001,5,0
85-qksxYXiM,Elecciones de Perú: El conteo más reñido de su historia,"Jun 8, 2026",92,0.001,9,1
gkIbA9J1HMo,República Dominicana: La joya de inversión en latinoamérica - Luis Velutini,"Dec 17, 2024",29,0.001,2,0.5
0d9F0hXUU5s,"Empresario del Año 2018. Entrevista al presidente de Imca, Pedro Esteva","Dec 10, 2018",602,0.001,1,1
4xbXLfiGgGo,Dionisio Gutierrez,"Jan 14, 2020",597,0.001,2,0
sxEOiR5txD8,"C-VEN Technologies, soluciones tecnológicas eficientes","May 27, 2021",415,0.001,1,1
hC3OGyLXTFA,Fuertes amenazas por parte del Pentágono: el bloqueo se intensifica.,"Apr 16, 2026",90,0.001,6,0
X6KHuqiv1Vk,Roberto Stark   Parte 2,"May 30, 2019",1317,0.001,7,0.143
F_of-TifQl4,"QI Jazz Quartet, un arraigado amor por la música","Apr 13, 2022",461,0.001,2,0.5
omEDsJlbqB0,Críticas que hacen por ser mujer - Faride Raful,"Sep 25, 2024",37,0.001,12,0.2
5i03Od7sUPE,Revolucionarios Iraniés atentan contra el posible acuerdo de paz,"Apr 22, 2026",97,0.001,5,0
63qgOqbyzaU,Aislamiento bancario ¿Cómo afecta a la economía cubana la suspensión de las grandes tarjetas?,"Jun 5, 2026",87,0.001,9,0.5
NOIX-1_YAs8,¿En que país es más barato comprar un Iphone?,"Jan 19, 2026",36,0.001,11,0.2
hsBVMUTbhZ4,"Ted Turner, el arquitecto del imperio visual","May 6, 2026",103,0.001,7,0.25
WXBT1ZlCWnI,Luis Galindo: Lo importante del liderazgo con empatía,"Aug 18, 2024",26,0.001,10,0.2
asXGSwbEO_o,La admiración es clave: Dr. Enrique Rojas Mercado Podcast,"Aug 18, 2024",48,0.001,41,0.063
TDHw3-uzl4Q,Entrevista al economista Raúl Hernández.,"Jan 29, 2019",266,0.001,1,
A91dbCv6xAk,EE  UU  acusa formalmente a Raúl Castro por derribo de avionetas en 1996,"May 22, 2026",84,0.001,4,0.5
oEq1JU5uF7w,Fuego cruzado: Misiles iraníes impactan el aeropuerto de Kuwait en represalia contra Washington,"Jun 3, 2026",88,0.001,10,0.167
wYKL2d3i2Mg,"40 Under 40: Huascar Beltré, una perspectiva humana de la transformación digital","Dec 1, 2021",201,0.001,1,1
hGO4oCxf5ok,Estados Unidos en alerta por caso de ébola,"May 19, 2026",90,0.001,6,0.333
Qt2vJxtX5TA,Dr. Pablo Mateo presenta novedoso tratamiento para el cáncer de próstata,"Oct 11, 2021",267,0.001,7,0.2
qH6KUAsiNDM,¿Cuál es la diferencia entre los valores y el propósito? - Patricia Janiot,"Oct 9, 2024",40,0.001,4,0.5
pBMuudRtOSY,Nueva Torre Alpha - Luis Velutini,"Dec 25, 2024",50,0.001,3,0.5
BjcTkSyO1_M,Seguridad vs. derechos: el costo institucional del modelo Bukele,"Apr 28, 2026",82,0.001,6,0.5
Jc7p2sljXzw,Marco Rubio señala la corrupción cubana y ofrece ayuda sin control estatal,"May 20, 2026",115,0.001,4,0.5
jifjE2pWpPo,"Fútbol, fortuna y visión empresarial inversiones fuera de la cancha","Jun 29, 2026",124,0.001,14,0.25
LOl8U5Eg3vg,"Nuria Vilanova, presidenta del Consejo Empresarial Alianza por Iberoamérica (CEAPI)","Oct 5, 2021",324,0.001,3,0.333
5wlT-9_K3iE,Pablo Wiechers - Gerente General - Nestlé,"Mar 10, 2021",521,0.001,1,1
lMvFh44GiwY,Acuerdo nuclear bajo amenaza ofensiva de Trump contra Irán,"May 20, 2026",77,0.001,5,0.333
1ctWghOzdE0,Derecho a la felicidad y la reforma fiscal: Reflexiones de Omar Fernández,"Nov 14, 2024",43,0.001,2,1
dpYDlHrROGo,La CIA visita Cuba para entregar “ultimatum” diplomático,"May 15, 2026",95,0.001,12,0.25
io-TeeidhV8,José Manuel Infante - Fundador y Presidente de CSI - Tech Talks,"Sep 28, 2020",812,0.001,1,1
CYdfZC54Dzk,HIT: Erik Alma y Cristyan Peralta nos hablan de un proyecto logístico innovador,"Apr 20, 2022",246,0.001,2,0.5
XUZcakeZ0Jg,Raúl Peña - United Brands - Mejores Empresas Para Trabajar 2020,"Sep 9, 2020",473,0.001,2,0.5
dg17bkcLe90,Trump advierte fuertes bombardeos nocturnos ¿Fracasaron las negociaciones,"Jun 11, 2026",82,0.001,10,0.25
M53A8mQ-Ako,Proyecto Green One Puerto Plata -  - Luis Velutini,"Dec 28, 2024",42,0.001,5,0
7k6AZKDBkj8,Traba nuclear: Las dudas de Trump y el escepticismo de Irán,"May 29, 2026",85,0.001,9,0.5
LuYR1K8omPU,IA  El Futuro del Trabajo y La Ética Profesional,"Jun 30, 2025",50,0.001,3,0.5
1ChJcykOei8,Lo que no se mostró de la inauguración del Mundial 2026,"Jun 12, 2026",80,0.001,14,0.2
BdIhvMO0Vwg,Red de interferencia y sabotaje chino contra EE  UU en investigación,"May 26, 2026",97,0.001,10,0.333
ID_nUJbLKHs,Descubrimos cimientos del Templo griego anterior a Taposiris Magna – Dra. Kathleen Martínez,"Jan 1, 2025",40,0.001,39,0.045
VmCDXURIzR0,Este es el cronograma oficial para la entrega de la nueva cédula dominicana,"Feb 11, 2026",39,0.001,3,0.5
nAqZsBrgO6o,EE  UU  alivia sanciones a Irán mientras Israel mantiene la presión militar,"Jun 22, 2026",82,0.001,18,0.143
pdihekua3d4,IMPACTO DE EL NIÑO El fenómeno que va a cambiar el clima del planeta este año,"Jun 3, 2026",89,0.001,28,0.077
Vf8jCyC93wI,"Israel desafía a la Casa Blanca: ""nos vincula el acuerdo entre Trump e Irán  V01""","Jun 15, 2026",85,0.001,8,0.25
j7M78g_7rmw,"Dulce Marchena, Directora de Recursos Humanos de Scotia GBS","Jul 19, 2021",254,0.001,4,0.25
sRWNfbpYGLo,"""La Garra""  presidencial: El histórico y millonario festejo de cumpleaños de Trump","Jun 15, 2026",84,0.001,17,0.125
nkJNKyKoLlM,Entrevista con el expresidente de México. Vicente Fox. Liderazgo.,"Jan 15, 2019",362,0.001,3,0.333
WI8Sf7x_iZ4,"Messi y Vozinha dos leyendas, dos formas de hacer historia","Jun 16, 2026",106,0.001,8,0.5
zuVTLokLUQk,Ruth Méndez –Gerente de Negocios– Alpha Inversiones: Groundbreakers del Mercado Bursátil,"May 5, 2021",200,0.001,1,
4SLPIDh5p_o,La relación entre la pérdida auditiva y la demencia - La Clave en la Rehabilitación Auditiva,"Sep 16, 2024",33,0.001,20,0.125
oun4nc5N_44,Medidas que salvarán la economía dominicana en 2026 y entran en vigencia ¡HOY!,"May 1, 2026",78,0.001,6,0
J_ROUZfr_cA,"Market Brief 2019. Antonio Pérez Mora. ""20 Años Construyendo Fondos de Inversión. Parte 2","Mar 27, 2019",874,0,1,0
zVTtGcr1ZTQ,Mónica Varela  te invita a disfrutar The Best Of DR,"Aug 19, 2019",18,0,3,0
mN4QUeBEC5A,Mejores Empresas para Trabajar 2024 en #CapCana,"Aug 21, 2024",49,0,2,0
1zZv3hri7qo,Machado cara a cara con Trump tras la caída de Maduro,"Jan 16, 2026",30,0,2,0
NXhZJvxj0SU,RD: Liderazgo transición energética - Andrés Felipe Sánchez - Climate Bonds Initiative,"Dec 3, 2024",49,0,1,0
IWPMwEUFa0s,"José Luis Cordeiro: ""¿Te imaginas un mundo sin muerte?""","Apr 25, 2022",282,0,3,0
cQES6g3UisA,Después de 50 años el hombre vuelve a la luna | 2026,"Mar 31, 2026",67,0,4,0
gsqjyK-9K-k,Lucila Wynen - Philip Morris International - Mejores Empresas Para Trabajar 2020,"Sep 9, 2020",588,0,3,0
_xzFpgrczGk,Superando el miedo - Dra. Kathleen Martínez,"Dec 8, 2024",21,0,1,0
UR-pg26Dsxs,Innovaciones en Regulación Financiera: Protegiendo Inversionistas,"Jan 11, 2025",27,0,2,0
YKENzBmOmdU,"Sismo de 7.5 sacude Japón: más de 170,000 evacuados","Apr 20, 2026",82,0,3,0
2TXTHeCqKyw,Venezuela hace historia al ganar su primer Clásico Mundial de Béisbol 2026,"Mar 18, 2026",49,0,4,0
y2J8FibIxsA,La Historia Detrás del JW Marriott - Luis Velutini,"Dec 20, 2024",28,0,2,0
PNNzORxqBLM,Inmotion: Dominando GCP y Workspace  Estrategias para Negocios,"Aug 21, 2024",47,0,1,0
dosx_Ww4drI,La adicción a las redes sociales ya tiene culpables: corte en EEUU  condena a Meta y Google,"Mar 26, 2026",84,0,3,0
GLRp8cGFcdQ,La muerte de Cleopatra: Ritual espiritual revelador  – Dra. Kathleen Martínez,"Dec 16, 2024",53,0,5,0
qt1FejCx8Oo,¿Cómo una cerveza regional conquistó Punta Cana?,"Feb 2, 2025",32,0,2,0
Hv5exgBCiQc,Banco Mundial prevé crecimiento de 4.5 % para RD en 2026,"Jan 15, 2026",38,0,2,0
2wxuLC8iVRg,EEUU sale del cierre de Gobierno,"Nov 19, 2025",43,0,2,0
oVLCc_rBSNA,Elon Musk - Sobre la Inteligencia Artificial,"Nov 25, 2025",51,0,3,0
3cVAj4BFkS8,Nader Enterprises impulsa el desarrollo sostenible de Miches con nuevos proyectos en FITUR 2025,"Jan 25, 2025",131,0,5,0
x0V17G1BxDA,SEDE: Mejorando relaciones bilaterales estrategias efectivas para el futuro,"Nov 14, 2024",33,0,1,
Jbch22Blbqo,IDAC: La ubicación geográfica de República Dominicana,"Aug 28, 2024",48,0,2,0
g6aACCmV2xY,Bad Bunny impulsa el turismo en RD,"Nov 26, 2025",40,0,2,0
UPHZlxw3q_g,Ultimatum de Trump: Alerta de la economía global,"Apr 6, 2026",74,0,4,
Z736FgwbNXQ,#MeToo: La voz de la mujer tiene más fuerza - Patricia Janiot,"Nov 25, 2024",46,0,2,0
A2AftDgiCdQ,¿Por qué el Mundial 2026 cambiará el fútbol para siempre?,"Jun 10, 2026",83,0,11,0
rPikSqlMB94,ADRIANO MARTINEZ - CFO - BANCO CARIBE,"Mar 10, 2026",22,0,2,0
ZSnk9UgpHFo,Luis Galindo: Se puede estar orgulloso del NIVEL DE LOS EMPRESARIOS en República Dominicana,"Aug 21, 2024",28,0,4,0
V58SK3CzCnQ,RD:  Estabilidad y crecimiento económico - Andrés Felipe Sánchez – Climate Bonds Initiative,"Dec 12, 2024",59,0,1,0
uax8ze5pTjg,David Collado - Cómo alcanzar el éxito empresarial antes de los 40 años de edad.,"Nov 25, 2019",46,0,3,0
sGB1p4dvnQU,Gestión de riesgo ambiental: Clave para la sostenibilidad en RD,"Jan 10, 2025",56,0,2,0
vbW48GYiyQE,Conoce los 20 billonarios mas ricos de latinoamerica,"Jan 8, 2026",47,0,1,0
q1uV5JXjn4k,Discurso del presidente Luis Abinader ante la tensión entre Irán e Israel.,"Mar 24, 2026",95,0,7,0
KJucLVBCEuc,Salud Mental Hoy: Insights del Dr. Enrique Rojas en el Episodio 1 de Mercado Podcast,"Aug 15, 2024",24,0,4,0
nXOkxhvy9S0,¿Y si la educación realmente se adaptara a cada niño? | María Fondeur y Yazmín Estrella,"May 14, 2026",868,0,2,0
rwoX8Xmjnfk,Dr. Richard Marine: ¿Qué es la Medicina de Precisión?,"Sep 13, 2024",37,0,1,0
x-EZvvM9UJI,Pamela Sued  te invita a disfrutar The Best Of DR 2019,"Aug 19, 2019",18,0,5,0
QMBw1s0USZA,Pentraze: Pruebas de penetración seguridad en sistemas y hardware,"Aug 18, 2024",30,0,1,0
_o888DQbdo0,Acciona y su enfoque social: Transformando comunidades con agua y luz - Roberto Cabrera - Acciona,"Dec 3, 2024",50,0,2,0
YVZqyIM9o6c,"Ángel González - TECH SUMMIT 2025: PANEL  ""Soluciones de Pagos para las Pymes""","Jun 3, 2025",60,0,1,0
BJ3AQMGkgQk,Inversión en Bonos Verdes: La nueva oportunidad en latinoamérica - Roberto Cabrera - Acciona,"Dec 4, 2024",49,0,2,0
nr59eb0CgFw,Ráfagas destructiva: El evento que expuso la fragilidad de Santo Domingo,"Apr 14, 2026",103,0,5,0
t7oYgnpEuLg,La transformación del World Trade Center - Luis Velutini,"Dec 23, 2024",31,0,1,0
5gynKwxqKTY,Paola Rainieri - Mercado Interview,"May 13, 2020",1225,0,1,0
xbqayoE_HUQ,El iPhone 18 Fold ya se deja ver: así sería el primer plegable de Apple,"Apr 10, 2026",65,0,7,0
_lpRL1Y5fTI,Conferencias en la Semana Dominicana en España,"Nov 6, 2024",53,0,3,0
PN7fSOzgRDk,Estos son los celulares en los que WhatsApp dejará de funcionar en Enero de 2026,"Jan 27, 2026",30,0,3,0
oq6KV_Diz4w,Transformando la narrativa de negativo a positivo - Reflexiones de Patricia Janiot,"Nov 21, 2024",53,0,6,0
OnYdo3OXLqg,Dr. Richard Marine: Descubre tu edad biológica,"Sep 13, 2024",50,0,2,0
jllQTQc-Qls,El impacto del Marxismo en la propiedad privada china - Hernando de Soto,"Oct 26, 2024",37,0,3,0
kxduyf9Jdps,Hire Horatio: Cómo los Beneficios para Empleados Impulsan la Excelencia,"Aug 21, 2024",52,0,3,0
ZCh14XOuqeo,Peter Baudenbacher CFO Nestlé Dominicana,"Feb 9, 2017",94,0,3,0
41XA_hNyVl0,Rinden homenaje póstumo a Don Diego De Moya Canaán,"Dec 15, 2014",250,0,3,0
y1lUsiwDjw0,IDAC: La importancia de la aviación civil en el turismo dominicano,"Aug 31, 2024",57,0,1,0
fb1WcZcSY9M,La Tabacalera: Un portafolio de lujo de cigarros,"Sep 4, 2024",59,0,2,0
3N6O_e9VUaw,La República Dominicana: Pilar Económico de la Región,"Jan 23, 2025",24,0,1,0
sSdoePP0s_c,El amor comprometido - Dr. Enrique Rojas en Mercado Podcast,"Aug 21, 2024",39,0,4,0
bELI5YAXKq0,"Educación para la igualdad para transformar la sociedad -Mayra Jiménez, ministra de la Mujer","Nov 16, 2024",57,0,1,0
8apQhpqE1po,Estrategias que fortalecen y desarrollan el comercio en República Dominicana - Mercado Interview,"Jun 14, 2024",379,0,1,0
0SxCMw4Suxo,Bonos verdes y sociales: Impacto positivo - Andrés Felipe Sánchez - Climate Bonds Initiative,"Dec 2, 2024",56,0,2,0
bNVr5UMmizo,Revista Mercado conversa con Dominican Watchman por su 40 Aniversario,"Sep 11, 2014",642,0,1,0
nEjGERMOI6Q,"César Iglesias, pionera en el mercado de acciones","May 11, 2022",112,0,2,0
emLsSMS-ehg,Descubrimientos Arqueológicos en el Templo de Isis  – Dra. Kathleen Martínez,"Dec 13, 2024",53,0,10,0
xsXeHSK_A1c,Zoemar: Cómo destacar en el sector inmobiliario y convertir clientes en seguidores,"Aug 10, 2024",30,0,2,0
4LyYuQiMth4,Regulación de la Inteligencia Artificial en Europa ¿Es suficiente? - Javer Cremades,"Oct 12, 2024",21,0,1,0
_N5d-lDKgIw,Más allá de los fármacos: Dr. Enrique Rojas en Mercado Podcast,"Aug 20, 2024",42,0,6,0
vMA-Q5ij8Ss,Teniendo perspectiva en la relación de pareja - Dr. Enrique Rojas en Mercado Podcast,"Aug 22, 2024",37,0,8,0
Pb7NR1gu8vg,"La importancia de las remesas para el desarrollo de RD, junto a Banco Unión","Jun 16, 2021",242,0,1,0
Hw3vjjmNvYo,"Adela Báez, gerente división de negocios AFP POPULAR","Nov 10, 2021",215,0,1,
gqf9jJg3UkY,La Evolución del Rol del CFO - GUIDO CUEVA - CFO de BEPENSA,"Mar 10, 2026",63,0,4,0
huKkPECsZvs,Relaciones económicas UE - Republica Dominicana:  Katja Afheldt,"Dec 23, 2024",47,0,1,0
tVVR6ZTvgZ4,Rafael Gutiérrez - 40 Under 40,"Nov 21, 2025",35,0,2,0
G1blvNGXuXE,Salario Mínimo en Latinoamérica: ¿Es Suficiente para Vivir?,"May 1, 2026",118,0,4,0
Xjatwv7Wk8Y,Cómo se enriquecen los millonarios en 2026,"Feb 18, 2026",31,0,2,0
1wtJfRehvzs,"Eduardo Hernández Incháustegui, con la Verdat por delante","May 24, 2022",205,0,2,0
jwEBM7ct3U4,"Luis Miguel Pereyra, socio fundador de Pereyra & Asociados","Sep 9, 2021",182,0,1,0
9bYquk7aXNA,Artemis II: Un paso hacia marte. Todo lo que necesitas saber:,"Apr 1, 2026",86,0,4,0
FxT2dPkKHJg,¿La inteligencia artificial es aliada o adversario? - Javier Cremades,"Oct 10, 2024",28,0,2,0
jKas7XzcOqw,El Catador   La evolución del consumo de vino en República Dominicana,"Jul 27, 2024",59,0,1,
yVWcGCUrbmU,Causas de la violencia estructural - Faride Raful,"Oct 17, 2024",46,0,8,0
-PdFyn4tYN8,SEDE: Guía de inversión en República Dominicana - Oportunidades y asesoría,"Nov 7, 2024",36,0,1,0
OEDQIl0hbp0,Curbo redefine la forma de adquirir tu vehículo ideal,"Feb 18, 2022",238,0,2,0
KrmRzS-UVxE,Ismail Ersahin: Como desbloquear el potencial de inversión en República Dominicana,"Sep 1, 2024",29,0,1,0
kW2Jtsdjnt4,Grupo Piñero celebra 50 años con ambiciosos proyectos y alianzas estratégicas en FITUR 2025,"Jan 24, 2025",147,0,1,
5QzZOipxzNs,Zohran Mamdani - El nuevo alcalde de NY,"Nov 28, 2025",88,0,2,0
IxqPgv78cpo,Un EMPRESARIO con ¨Karisma¨,"Oct 25, 2017",240,0,4,0
oT4nPPEX_oA,G7 Bajo presión por el incógnito pacto nuclear,"Jun 16, 2026",97,0,10,0
wL9hTuTdyv4,Relación entre la salud bucal y el Alzheimer: La clave es la prevención - Zantier,"Sep 17, 2024",40,0,1,0
nxhFit8GfE0,Trump y Xi Jinping la batalla por Taiwán y el conflicto con Irán,"May 14, 2026",104,0,6,0
rf2ZNxBVtRI,Colapso sin precedentes: Spirit Airlines detiene operaciones y deja miles en incertidumbre,"May 5, 2026",101,0,4,0
BpuTNKeDlRM,"Libro «Desde adentro, hacia el país que queremos» - Ito Bisonó","Oct 15, 2024",35,0,2,0
R6bZ4MR1bqI,Carlos Asilis - Mercado Interview,"Apr 21, 2020",1449,0,1,0
o4zalTd_dvo,Newlink: 20 años creando conexiones - Eduardo Valcárcel,"Nov 17, 2024",40,0,1,0
xA0VTk0kUtA,Mercado en Fitur 2026 - Felipe Vicini,"Jan 23, 2026",179,0,3,0
JHe9AzcgYq0,Tensión geopolítica vuelve a escalar: Ormuz el centro del riesgo global,"Apr 20, 2026",112,0,5,0
Z7Ap19lpPVA,Ismail Ersahin: Como se sienten los inversionistas con ProDominicana,"Aug 27, 2024",37,0,2,0
rAJsuemx26c,Atención Sanitaria Inclusiva  Salud para Todos!,"Jan 30, 2025",33,0,1,0
Os9KohyfnJs,Proyectos inmobiliarios que perduran en el tiempo: El legado de Luis Velutini,"Dec 17, 2024",382,0,1,0
4kh86OHserE,Cruz Ayala: Lideres en Química Seca y HPLC - Innovación para Laboratorios de Emergencia,"Aug 5, 2024",27,0,3,0
le8ByevJtV0,¿Fin de la guerra y la crisis energética?  Ormuz vuelve a abrirse,"May 6, 2026",103,0,7,0
rIJ0y72-U9o,"Freddy Rossi: Cevaldom, enfocados en ofrecer seguridad a sus clientes","Mar 23, 2022",120,0,,
q9zD8Ta9HTA,¡Revolucionamos el Reciclaje! Acuerdo Biodegradable con el Presidente,"Feb 8, 2025",60,0,1,0
UbPCxfCBT2A,Transformando el Futuro Financiero: Mi Camino a CFO,"Jan 3, 2025",51,0,1,0
boTmugXNnOc,Nuevo objetivo en la NASA: la plataforma hacia marte,"Apr 14, 2026",82,0,3,0
ZIOMpzy_4j0,El momento clave en la búsqueda de Cleopatra – Dra. Kathleen Martínez,"Dec 12, 2024",42,0,6,0
hE7yUa3WFxo,El misterioso templo de Taposiris Magna y la Diosa Isis – Dra. Kathleen Martínez,"Dec 17, 2024",47,0,3,0
-Oyy0liU_HM,Fideicomiso Pro-Pedernales impulsa inversiones millonarias y la expansión turística del sur en FITUR,"Jan 27, 2025",134,0,7,0
FffOV3dcEm8,¿Sabías este dato acerca de Los Leones del Escogido?,"Jan 30, 2026",49,0,1,0
7oaHk95tEK8,La Clave de la Ética y Empatía en la Medicina ¡Imprescindible!,"Oct 21, 2025",35,0,2,0
mrkdzWUE8Io,Luis Galindo: Crea una visión Inspiradora para motivarte,"Aug 25, 2024",33,0,1,0
6zMWcNA6OuE,¿Qué es lo más valioso que podemos aprender de un caballo?,"Oct 24, 2023",58,0,1,0
0BiRbNLO-zY,Adjudican a empresa dominicana construir la nueva terminal del AILA,"Mar 27, 2026",65,0,3,0
sjZJ1pxwXzg,Karol G ¿llevará a Bad Bunny a Coachella 2026? Lo que sabemos del festival,"Apr 18, 2026",147,0,3,0
loBp2ASta38,Raymond Marcelino - CEO Gerente General - Asystec,"Dec 22, 2020",722,0,1,0
cOJpkcOCTxY,Pablo Mondragón - Director Centroamérica y Caribe - DIDI,"Dec 23, 2020",823,0,1,0
Wv-bGr5xOQ4,Estamos rompiendo los techos de cristal y liderando en seguridad - Faride Raful,"Sep 27, 2024",43,0,2,0
nEAi8Qvz_9A,Crecer Lab: Transformando la última milla con entregas por drones,"Sep 20, 2024",38,0,5,0
TrXKrpMYJkg,Cruz Ayala: Donación a la universidad PUCMM laboratorio automatizado para la carrera de Bioanálisis,"Aug 6, 2024",49,0,2,0
w7_RUNOv4Eg,Confirmado: SpaceX apunta a salir a bolsa en 2026 y esto es lo que cambia para los inversionistas,"Dec 16, 2025",39,0,2,
_E8AMpum5JQ,Caida de Cloudflare,"Nov 20, 2025",51,0,2,0
rsjZcu5w6hE,Empoderamiento y género en la Refinería Dominicana de Petróleo: Yamily López,"Oct 30, 2024",27,0,1,0
XeXDbJSsu9k,Cómo DPH facilita el comercio internacional en República Dominicana,"Aug 23, 2024",15,0,5,0
PGJL9fOzPyY,"Luis Franco, Director del Centro Médico Dominico Cubano","Jul 2, 2021",264,0,2,0
JuN_nZtYqQg,¡Equidad en Salud! Educación  La Clave para un Cuidado Médico Igualitario,"Oct 27, 2025",58,0,3,
xa0Xrckj4s4,El Catador: Inspirar a las personas convertirse en catadores,"Aug 14, 2024",29,0,1,0
ItqZZBqhmBQ,"Cobertura especial de Revista Mercado en el WLC 2025: Alejandra Precht, Mag. del TC de Chile","Jun 4, 2025",68,0,1,0
Dl2BjU0kgEA,Amerident Laboratorio propio para prótesis dentales,"Aug 21, 2024",28,0,2,0
4q-VdPl375o,Bonos de Venezuela se disparan tras giro político,"Jan 9, 2026",44,0,1,0
